mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
ZNF480	YWHAG	TNIP1	NA	ZNF254
ZNF723	YWHAH	TOM1L1	NA	ZNF354A
NA	YWHAQ	TRA2B	NA	NA
NA	YWHAZ	TRAF3IP2	NA	NA
NA	ZDHHC19	TSG101	NA	NA
NA	ZMYND8	TXK	NA	NA
NA	ZNF140	UBE2H	NA	NA
NA	ZNF839	UNC45B	NA	NA
NA	NA	VIM	NA	NA
NA	NA	VTA1	NA	NA
NA	NA	VWA1	NA	NA
NA	NA	ZFP37	NA	NA
NA	NA	ZMYND8	NA	NA
NA	NA	ZNF28	NA	NA
NA	NA	ZNF468	NA	NA
NA	NA	ZNF680	NA	NA
NA	NA	ZNF765	NA	NA
NA	NA	ZNF813	NA	NA
NA	NA	ZNF888	NA	NA
