mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
CCDC88B	>JUM_strawberry|junction_15:84645837-84646183:-|MSTRG.13100.1,MSTRG.13100.6,MSTRG.13100.8,MSTRG.13100.11,MSTRG.13100.12,MSTRG.13100.14,MSTRG.13100.17,MSTRG.13100.19,MSTRG.13100.22,MSTRG.13100.27,MSTRG.13100.30,MSTRG.13100.34,MSTRG.13100.35,MSTRG.13100.39,M	>JUM_strawberry|junction_16:4727178-4729979:-|MSTRG.13635.2,MSTRG.13635.4,MSTRG.13635.5,MSTRG.13635.8,MSTRG.13635.10,MSTRG.13635.11,MSTRG.13635.13,MSTRG.13635.14,MSTRG.13635.18,MSTRG.13635.20,MSTRG.13635.21,MSTRG.13635.22,MSTRG.13635.23,MSTRG.13635.24,MSTR	>JUM_strawberry|junction_3:197297236-197297543:-|MSTRG.27913.4,MSTRG.27913.14,MSTRG.27913.23,MSTRG.27913.28,MSTRG.27913.38,MSTRG.27913.43,MSTRG.27913.51,MSTRG.27913.60,MSTRG.27913.61,MSTRG.27913.66,MSTRG.27913.72,MSTRG.27913.92,MSTRG.27913.95,MSTRG.27913.9	>JUM_strawberry|junction_9:92502591-92505532:-|MSTRG.38407.4,MSTRG.38407.6,MSTRG.38407.7,MSTRG.38407.14,MSTRG.38407.15,MSTRG.38407.19,MSTRG.38407.21,MSTRG.38407.22,MSTRG.38407.23,MSTRG.38407.24,MSTRG.38407.25,MSTRG.38407.26,MSTRG.38407.28,MSTRG.38407.31 OS
FADS6	>JUM_strawberry|junction_19:6744995-6746028:+|MSTRG.17815.1,MSTRG.17815.2,MSTRG.17815.4,MSTRG.17815.8,MSTRG.17815.12,MSTRG.17815.19,MSTRG.17815.22,MSTRG.17815.23,MSTRG.17815.25,MSTRG.17815.31,MSTRG.17815.32,MSTRG.17815.33,MSTRG.17815.35,MSTRG.17815.36,MSTR	>JUM_strawberry|junction_16:28823559-28825365:+|MSTRG.14056.1,MSTRG.14056.2,MSTRG.14056.3,MSTRG.14056.4,MSTRG.14056.5,MSTRG.14056.6,MSTRG.14056.7,MSTRG.14056.8,MSTRG.14056.9,MSTRG.14056.10,MSTRG.14056.11,MSTRG.14056.12,MSTRG.14056.13,MSTRG.14056.14,MSTRG.1	>JUM_strawberry|junction_5:146510161-146510440:+|MSTRG.31338.7,MSTRG.31338.11,MSTRG.31338.12,MSTRG.31338.15,MSTRG.31338.23,MSTRG.31338.27,MSTRG.31338.30,MSTRG.31338.48,MSTRG.31338.52,MSTRG.31338.54,MSTRG.31338.62,MSTRG.31338.77,MSTRG.31338.89,MSTRG.31338.9	>JUM_strawberry|junction_9:134832892-134834970:+|MSTRG.39301.3,MSTRG.39301.4,MSTRG.39301.5,MSTRG.39301.6,MSTRG.39301.8,MSTRG.39301.9,MSTRG.39301.32,MSTRG.39301.34,MSTRG.39301.60,MSTRG.39301.63,MSTRG.39301.65,MSTRG.39301.66,MSTRG.39301.67,MSTRG.39301.125,MS
FAM98A	>JUM_strawberry|junction_MT:9522-13467:-|MSTRG.41003.266,MSTRG.41003.361,MSTRG.41003.372,MSTRG.41003.393,MSTRG.41003.404,MSTRG.41003.405,MSTRG.41003.429,MSTRG.41003.431,MSTRG.41003.433,MSTRG.41003.434,MSTRG.41003.449,MSTRG.41003.475,MSTRG.41003.480,MSTRG.4	>JUM_strawberry|junction_17:38472007-38477578:+|MSTRG.15744.1,MSTRG.15744.2,MSTRG.15744.3,MSTRG.15744.4,MSTRG.15744.6,MSTRG.15744.7,MSTRG.15744.8,MSTRG.15744.9,MSTRG.15744.10,MSTRG.15744.11,MSTRG.15744.16,MSTRG.15744.18,MSTRG.15744.20,MSTRG.15744.22,MSTRG.	>JUM_strawberry|junction_9:128266326-128267193:-|MSTRG.39035.2,MSTRG.39035.3,MSTRG.39035.4,MSTRG.39035.9,MSTRG.39035.10,MSTRG.39035.11,MSTRG.39035.13,MSTRG.39035.14,MSTRG.39035.15,MSTRG.39035.17,MSTRG.39035.20,MSTRG.39035.22,MSTRG.39035.23,MSTRG.39035.25,M	>JUM_strawberry|junction_10:13109016-13109111:+|MSTRG.4245.9,MSTRG.4245.15,MSTRG.4245.17,MSTRG.4245.18,MSTRG.4245.25,MSTRG.4245.26,MSTRG.4245.42,MSTRG.4245.51,MSTRG.4245.55,MSTRG.4245.69,MSTRG.4245.70,MSTRG.4245.75,MSTRG.4245.78,MSTRG.4245.82,MSTRG.4245.85
FAM220BP	ABCC12	>JUM_strawberry|junction_17:48032234-48032685:-|MSTRG.16143.1,MSTRG.16143.4,MSTRG.16143.5,MSTRG.16143.7,MSTRG.16143.10,MSTRG.16143.15,MSTRG.16143.19,MSTRG.16143.20,MSTRG.16143.27,MSTRG.16143.29,MSTRG.16143.31,MSTRG.16143.33,MSTRG.16143.34,MSTRG.16143.35,MS	>JUM_strawberry|junction_12:878362-879572:+|MSTRG.7875.8,MSTRG.7875.10,MSTRG.7875.11,MSTRG.7875.12,MSTRG.7875.14,MSTRG.7875.16,MSTRG.7875.19,MSTRG.7875.20,MSTRG.7875.26,MSTRG.7875.28,MSTRG.7875.33,MSTRG.7875.35,MSTRG.7875.36,MSTRG.7875.42,MSTRG.7875.45,MST	>JUM_strawberry|junction_15:58898853-58899468:-|MSTRG.12546.2,MSTRG.12546.3,MSTRG.12546.4,MSTRG.12546.5,MSTRG.12546.7,MSTRG.12546.8,MSTRG.12546.10,MSTRG.12546.11,MSTRG.12546.12,MSTRG.12546.13,MSTRG.12546.14,MSTRG.12546.17,MSTRG.12546.18,MSTRG.12546.19,MSTR
FBXO3	ABCG1	>JUM_strawberry|junction_18:8821499-8822475:+|MSTRG.16916.4,MSTRG.16916.7,MSTRG.16916.8,MSTRG.16916.10,MSTRG.16916.11,MSTRG.16916.13,MSTRG.16916.15,MSTRG.16916.17,MSTRG.16916.20,MSTRG.16916.22,MSTRG.16916.28,MSTRG.16916.30,MSTRG.16916.31,MSTRG.16916.33,MST	>JUM_strawberry|junction_12:57719183-57720098:+|MSTRG.9050.43,MSTRG.9050.48,MSTRG.9050.53,MSTRG.9050.54,MSTRG.9050.56,MSTRG.9050.62,MSTRG.9050.64,MSTRG.9050.65,MSTRG.9050.69,MSTRG.9050.70,MSTRG.9050.71,MSTRG.9050.75,MSTRG.9050.76,MSTRG.9050.79,MSTRG.9050.8	>JUM_strawberry|junction_16:130592-138149:-|MSTRG.13347.1,MSTRG.13347.2,MSTRG.13347.5,MSTRG.13347.6,MSTRG.13347.8,MSTRG.13347.9,MSTRG.13347.11,MSTRG.13347.12,MSTRG.13347.13,MSTRG.13347.15,MSTRG.13347.16,MSTRG.13347.17,MSTRG.13347.18,MSTRG.13347.19,MSTRG.13
FOXD1	ALDH9A1	>JUM_strawberry|junction_19:11195821-11197484:-|MSTRG.17981.1,MSTRG.17981.3,MSTRG.17981.8,MSTRG.17981.10,MSTRG.17981.11,MSTRG.17981.17,MSTRG.17981.18,MSTRG.17981.24,MSTRG.17981.37,MSTRG.17981.39,MSTRG.17981.40,MSTRG.17981.47,MSTRG.17981.51,MSTRG.17981.69,M	>JUM_strawberry|junction_12:57720264-57720405:+|MSTRG.9050.42,MSTRG.9050.43,MSTRG.9050.47,MSTRG.9050.48,MSTRG.9050.53,MSTRG.9050.62,MSTRG.9050.64,MSTRG.9050.65,MSTRG.9050.70,MSTRG.9050.71,MSTRG.9050.76,MSTRG.9050.78,MSTRG.9050.79,MSTRG.9050.80,MSTRG.9050.8	>JUM_strawberry|junction_16:3485084-3485466:+|MSTRG.13586.2,MSTRG.13586.21,MSTRG.13586.23,MSTRG.13586.25,MSTRG.13586.26,MSTRG.13586.31,MSTRG.13586.36,MSTRG.13586.39,MSTRG.13586.41,MSTRG.13586.43,MSTRG.13586.45,MSTRG.13586.52,MSTRG.13586.65,MSTRG.13586.67,M
GALNT9	AMMECR1	AAGAB	>JUM_strawberry|junction_12:130804544-130806981:-|MSTRG.9810.3,MSTRG.9810.5,MSTRG.9810.6,MSTRG.9810.9,MSTRG.9810.11,MSTRG.9810.18,MSTRG.9810.25,MSTRG.9810.26,MSTRG.9810.30,MSTRG.9810.34,MSTRG.9810.42,MSTRG.9810.47,MSTRG.9810.49,MSTRG.9810.50,MSTRG.9810.51,	>JUM_strawberry|junction_MT:12886-13639:-|MSTRG.41003.651,MSTRG.41003.771,MSTRG.41003.806,MSTRG.41003.810,MSTRG.41003.859,MSTRG.41003.877,MSTRG.41003.878,MSTRG.41003.884,MSTRG.41003.910,MSTRG.41003.911,MSTRG.41003.947,MSTRG.41003.961,MSTRG.41003.968,MSTRG.
KIAA1328	ANKDD1A	ABCA4	>JUM_strawberry|junction_19:11195821-11196049:-|MSTRG.17981.5,MSTRG.17981.6,MSTRG.17981.15,MSTRG.17981.19,MSTRG.17981.25,MSTRG.17981.28,MSTRG.17981.34,MSTRG.17981.43,MSTRG.17981.46,MSTRG.17981.53,MSTRG.17981.60,MSTRG.17981.61,MSTRG.17981.72,MSTRG.17981.76	A2ML1
KIF22	ANKRD36C	ABRA	>JUM_strawberry|junction_19:34677834-34678736:+|MSTRG.18640.3,MSTRG.18640.8,MSTRG.18640.9,MSTRG.18640.10,MSTRG.18640.11,MSTRG.18640.12,MSTRG.18640.14,MSTRG.18640.15,MSTRG.18640.20,MSTRG.18640.22,MSTRG.18640.26,MSTRG.18640.27,MSTRG.18640.35,MSTRG.18640.37,M	AAGAB
KIZ	ANKRD50	AC004890.2	>JUM_strawberry|junction_20:28600462-28601656:-|MSTRG.23427.2,MSTRG.23427.6,MSTRG.23427.7,MSTRG.23427.9,MSTRG.23427.14,MSTRG.23427.17,MSTRG.23427.19,MSTRG.23427.22,MSTRG.23427.24,MSTRG.23427.25,MSTRG.23427.26,MSTRG.23427.29,MSTRG.23427.31,MSTRG.23427.32,MS	ABCA4
KTN1	ANLN	ACADM	>JUM_strawberry|junction_MT:6486-6556:-|MSTRG.41003.8,MSTRG.41003.9,MSTRG.41003.145,MSTRG.41003.208,MSTRG.41003.236,MSTRG.41003.333,MSTRG.41003.357,MSTRG.41003.436,MSTRG.41003.456,MSTRG.41003.473,MSTRG.41003.509,MSTRG.41003.564,MSTRG.41003.943,MSTRG.41003.	ABCB1
MGAT1	AQPEP	ACOX3	A3GALT2	ABCD1
MRGPRG	ARHGAP27	ADCY3	AADAT	ABCD3
NBPF1	ARMC5	AFMID	ABCB11	ABTB1
P2RX7	ARMS2	AGO1	ABCC12	AC015813.1
PCDHB8	ASB10	ANGEL1	ABCG1	ACIN1
PCDHB13	ATP8B3	ANKMY1	ABHD5	ACOT11
PDSS1	ATP11A	ANKRD13D	ABL1	ACTL6A
PLCB3	B4GALT4	ANP32B	ACCSL	ADAMTS2
PPP4R4	BECN1	AP1G2	ACSS1	ADAMTS5
PRKD2	BEST3	APEX2	ACTA2	ADAMTS8
SIAH1	BFSP1	APTX	ADAMTS15	ADAMTS14
SLC4A4	BLK	ARFGAP2	AIDA	ADARB1
SLC39A12	BTN2A1	ARHGAP5-AS1	AIMP2	ADCK3
SYNCRIP	C1orf52	ARHGAP39	AKT1	ADNP2
SYT11	C1orf198	ARHGEF1	AL035461.3	AFF4
TAAR9	C1QTNF1	ARHGEF10	ALKBH6	AGT
THAP10	C2orf88	ARHGEF17	AMMECR1	AHSA2
TOMM40	C4orf29	ATF4	ANGPTL1	AIF1
TRAV7	C7orf72	ATG4D	ANKDD1A	AKNA
