mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
ATP1A4	ADH1C	>JUM_strawberry|junction_20:28600462-28601656:-|MSTRG.23427.2,MSTRG.23427.6,MSTRG.23427.7,MSTRG.23427.9,MSTRG.23427.14,MSTRG.23427.17,MSTRG.23427.19,MSTRG.23427.22,MSTRG.23427.24,MSTRG.23427.25,MSTRG.23427.26,MSTRG.23427.29,MSTRG.23427.31,MSTRG.23427.32,MS	A	>JUM_strawberry|junction_2:241268542-241268953:-|MSTRG.23052.4,MSTRG.23052.10,MSTRG.23052.12,MSTRG.23052.19,MSTRG.23052.20,MSTRG.23052.22,MSTRG.23052.33,MSTRG.23052.44,MSTRG.23052.52,MSTRG.23052.64,MSTRG.23052.65,MSTRG.23052.68,MSTRG.23052.69,MSTRG.23052.7
ATP13A1	ALAS2	>JUM_strawberry|junction_20:38493133-38497352:+|MSTRG.23642.1,MSTRG.23642.3,MSTRG.23642.4,MSTRG.23642.5,MSTRG.23642.6,MSTRG.23642.9,MSTRG.23642.11,MSTRG.23642.12,MSTRG.23642.14,MSTRG.23642.15,MSTRG.23642.16,MSTRG.23642.21,MSTRG.23642.23,MSTRG.23642.33,MSTR	ABCG1	>JUM_strawberry|junction_3:52558414-52561766:-|MSTRG.26277.3,MSTRG.26277.4,MSTRG.26277.6,MSTRG.26277.7,MSTRG.26277.9,MSTRG.26277.11,MSTRG.26277.13,MSTRG.26277.15,MSTRG.26277.20,MSTRG.26277.22,MSTRG.26277.26,MSTRG.26277.28,MSTRG.26277.31,MSTRG.26277.32,MSTR
BAMBI	ALDH7A1	>JUM_strawberry|junction_MT:9522-13467:-|MSTRG.41003.266,MSTRG.41003.361,MSTRG.41003.372,MSTRG.41003.393,MSTRG.41003.404,MSTRG.41003.405,MSTRG.41003.429,MSTRG.41003.431,MSTRG.41003.433,MSTRG.41003.434,MSTRG.41003.449,MSTRG.41003.475,MSTRG.41003.480,MSTRG.4	ABRA	>JUM_strawberry|junction_4:1935263-1951071:+|MSTRG.28022.4,MSTRG.28022.13,MSTRG.28022.14,MSTRG.28022.17,MSTRG.28022.22,MSTRG.28022.28,MSTRG.28022.47,MSTRG.28022.50,MSTRG.28022.58,MSTRG.28022.64,MSTRG.28022.69,MSTRG.28022.71,MSTRG.28022.77,MSTRG.28022.82,MS
BCL2L1	AMMECR1L	>JUM_strawberry|junction_MT:10698-10751:-|MSTRG.41003.736,MSTRG.41003.751,MSTRG.41003.792,MSTRG.41003.845,MSTRG.41003.848,MSTRG.41003.870,MSTRG.41003.875,MSTRG.41003.876,MSTRG.41003.877,MSTRG.41003.881,MSTRG.41003.884,MSTRG.41003.885,MSTRG.41003.887,MSTRG.	ABTB1	>JUM_strawberry|junction_4:37902513-38014508:+|MSTRG.28340.1,MSTRG.28340.3,MSTRG.28340.4,MSTRG.28340.5,MSTRG.28340.6,MSTRG.28340.7,MSTRG.28340.8,MSTRG.28340.9,MSTRG.28340.10,MSTRG.28340.11,MSTRG.28340.12,MSTRG.28340.13,MSTRG.28340.14,MSTRG.28340.15,MSTRG.2
BOP	ANAPC13	ADAM32	ACADM	>JUM_strawberry|junction_5:141938761-141939553:+|MSTRG.31259.9,MSTRG.31259.16,MSTRG.31259.24,MSTRG.31259.25,MSTRG.31259.27,MSTRG.31259.30,MSTRG.31259.31,MSTRG.31259.32,MSTRG.31259.39,MSTRG.31259.47,MSTRG.31259.48,MSTRG.31259.64,MSTRG.31259.67,MSTRG.31259.7
C5orf22	ANP32B	ADAP1	ACIN1	>JUM_strawberry|junction_7:50703909-50710874:-|MSTRG.34776.3,MSTRG.34776.8,MSTRG.34776.16,MSTRG.34776.26,MSTRG.34776.31,MSTRG.34776.32,MSTRG.34776.34,MSTRG.34776.36,MSTRG.34776.37,MSTRG.34776.44,MSTRG.34776.51,MSTRG.34776.52,MSTRG.34776.57,MSTRG.34776.67,M
C19orf44	APCDD1	ADCK3	ACOT9	>JUM_strawberry|junction_10:73817555-73821681:-|MSTRG.4931.1,MSTRG.4931.2,MSTRG.4931.3,MSTRG.4931.4,MSTRG.4931.5,MSTRG.4931.6,MSTRG.4931.9,MSTRG.4931.10,MSTRG.4931.11,MSTRG.4931.12,MSTRG.4931.13,MSTRG.4931.14,MSTRG.4931.16,MSTRG.4931.17,MSTRG.4931.18,MSTRG
CALML3	ASB10	AFG3L1P	ACOT11	>JUM_strawberry|junction_11:63819003-63822630:+|MSTRG.6686.2,MSTRG.6686.6,MSTRG.6686.8,MSTRG.6686.9,MSTRG.6686.10,MSTRG.6686.12,MSTRG.6686.14,MSTRG.6686.17,MSTRG.6686.18,MSTRG.6686.22,MSTRG.6686.23,MSTRG.6686.25,MSTRG.6686.26,MSTRG.6686.27,MSTRG.6686.29 OS
CAST	ATF2	AGT	ACOX3	>JUM_strawberry|junction_12:32737162-32738263:+|MSTRG.8382.4,MSTRG.8382.14,MSTRG.8382.17,MSTRG.8382.18,MSTRG.8382.19,MSTRG.8382.20,MSTRG.8382.27,MSTRG.8382.35,MSTRG.8382.36,MSTRG.8382.37,MSTRG.8382.39,MSTRG.8382.40,MSTRG.8382.41,MSTRG.8382.52,MSTRG.8382.58
CBL	BARD1	AKAP10	ACP5	>JUM_strawberry|junction_12:57108300-57109940:-|MSTRG.8838.13,MSTRG.8838.14,MSTRG.8838.17,MSTRG.8838.20,MSTRG.8838.40,MSTRG.8838.43,MSTRG.8838.53,MSTRG.8838.55,MSTRG.8838.64,MSTRG.8838.69,MSTRG.8838.74,MSTRG.8838.80,MSTRG.8838.92,MSTRG.8838.95,MSTRG.8838.9
CCDC126	BOK	ANGPTL3	ACTL6A	>JUM_strawberry|junction_12:57720264-57720405:+|MSTRG.9050.42,MSTRG.9050.43,MSTRG.9050.47,MSTRG.9050.48,MSTRG.9050.53,MSTRG.9050.62,MSTRG.9050.64,MSTRG.9050.65,MSTRG.9050.70,MSTRG.9050.71,MSTRG.9050.76,MSTRG.9050.78,MSTRG.9050.79,MSTRG.9050.80,MSTRG.9050.8
CCKBR	BORA	ANKLE2	ADAMTS2	>JUM_strawberry|junction_15:72250093-72251206:-|MSTRG.12775.1,MSTRG.12775.7,MSTRG.12775.11,MSTRG.12775.21,MSTRG.12775.24,MSTRG.12775.32,MSTRG.12775.35,MSTRG.12775.37,MSTRG.12775.39,MSTRG.12775.40,MSTRG.12775.41,MSTRG.12775.43,MSTRG.12775.44,MSTRG.12775.45,
CD84	BRICD5	ANKRD9	ADAT2	>JUM_strawberry|junction_16:2769285-2770351:+|MSTRG.13583.1,MSTRG.13583.4,MSTRG.13583.5,MSTRG.13583.8,MSTRG.13583.12,MSTRG.13583.13,MSTRG.13583.15,MSTRG.13583.16,MSTRG.13583.21,MSTRG.13583.22,MSTRG.13583.30,MSTRG.13583.33,MSTRG.13583.37,MSTRG.13583.39,MSTR
CDCP1	BRINP1	ANKRD35	ADH1A	>JUM_strawberry|junction_16:4727178-4729979:-|MSTRG.13635.2,MSTRG.13635.4,MSTRG.13635.5,MSTRG.13635.8,MSTRG.13635.10,MSTRG.13635.11,MSTRG.13635.13,MSTRG.13635.14,MSTRG.13635.18,MSTRG.13635.20,MSTRG.13635.21,MSTRG.13635.22,MSTRG.13635.23,MSTRG.13635.24,MSTR
CDK16	C1orf87	ANO9	ADH1C	>JUM_strawberry|junction_16:89291184-89291680:-|MSTRG.14993.1,MSTRG.14993.2,MSTRG.14993.3,MSTRG.14993.4,MSTRG.14993.6,MSTRG.14993.10,MSTRG.14993.11,MSTRG.14993.12,MSTRG.14993.16,MSTRG.14993.17,MSTRG.14993.18,MSTRG.14993.19,MSTRG.14993.22,MSTRG.14993.24,MST
CDKL2	C2orf42	AP1G1	ADNP2	>JUM_strawberry|junction_19:11195821-11197484:-|MSTRG.17981.1,MSTRG.17981.3,MSTRG.17981.8,MSTRG.17981.10,MSTRG.17981.11,MSTRG.17981.17,MSTRG.17981.18,MSTRG.17981.24,MSTRG.17981.37,MSTRG.17981.39,MSTRG.17981.40,MSTRG.17981.47,MSTRG.17981.51,MSTRG.17981.69,M
CES5A	C9orf114	APTX	ADRBK1	>JUM_strawberry|junction_19:34677834-34678736:+|MSTRG.18640.3,MSTRG.18640.8,MSTRG.18640.9,MSTRG.18640.10,MSTRG.18640.11,MSTRG.18640.12,MSTRG.18640.14,MSTRG.18640.15,MSTRG.18640.20,MSTRG.18640.22,MSTRG.18640.26,MSTRG.18640.27,MSTRG.18640.35,MSTRG.18640.37,M
CFH	C10orf76	ARHGAP5	AIF1	>JUM_strawberry|junction_19:52614798-52618935:-|MSTRG.19562.1,MSTRG.19562.2,MSTRG.19562.3,MSTRG.19562.4,MSTRG.19562.9,MSTRG.19562.11,MSTRG.19562.14,MSTRG.19562.16,MSTRG.19562.22,MSTRG.19562.23,MSTRG.19562.28,MSTRG.19562.30,MSTRG.19562.34,MSTRG.19562.37,MST
CHAD	C14orf37	ARRDC1-AS1	AIFM3	>JUM_strawberry|junction_MT:10952-11044:-|MSTRG.41003.678,MSTRG.41003.724,MSTRG.41003.742,MSTRG.41003.776,MSTRG.41003.779,MSTRG.41003.788,MSTRG.41003.802,MSTRG.41003.805,MSTRG.41003.808,MSTRG.41003.809,MSTRG.41003.815,MSTRG.41003.816,MSTRG.41003.825,MSTRG.
CHCHD4	C17orf85	ASCL3	ALDH5A1	A4GALT
COLCA2	C19orf25	ASL	ALKBH2	AADAT
COMMD9	CACNA2D4	ATP1A3	ALKBH3	ABCA13
CST4	CATSPERD	ATP10A	ALX4	ABCD2
CYP4V2	CBX7	ATPAF2	ANKH	ABHD5
CYP46A1	CCDC63	ATXN3	ANKRD36	ABHD12
DDX42	CCN4	BACE2	ANKRD52	ABL1
DENND6A	CDC26	BAI3	APEX2	AC004890.2
DNAJC14	CECR1	BAX	ARF4	ACIN1
EFNB2	CEP41	BBOX1	ARHGEF10	ACOT6
EIF2AK1	CES2	BCL2L13	ASAP3	ACSM6
ELMOD3	CHKB	BDNF	ASB5	ACTA2
EVI2B	CLINT1	BEST2	ASB10	ACTL10
EXOC5	CNOT6	BRCA1	ATG9A	ADAM15
FABP5	COL2A1	BRPF1	ATG16L1	ADAMTSL5
FAM132A	CRTC2	BRWD1	BACE2	ADAP1
FBXW2	CTF1	BTBD16	BAZ1B	ADCY3
GAB4	DAB2IP	BTN2A3P	BCAR1	ADH1B
GABRG2	DCBLD1	C1orf106	BCL9	ADPRHL1
GLRX2	DMPK	C2CD4B	BDNF	AFMID
GPIHBP1	DNAJC5G	C5orf49	BEST3	AGO3
HACL1	DNASE1L2	C9orf84	BFSP1	AHR
HIST3H3	DPY19L3	C10orf111	BMP8A	AKAP12
HNRNPA1L2	DSG1	C15orf39	BMP8B	AL035461.3
HPN	DUSP4	C16orf97	C1orf87	ALAS1
HS3ST6	DYNC2LI1	C17orf47	C1orf195	ALDH9A1
IL18	EIF4E	CABLES1	C1orf232	ALKBH6
KAZN	EMC4	CABYR	C1QTNF1	ALMS1
KIAA0319	EPDR1	CALML3	C2orf48	AMPD1
KIAA0408	EPPIN	CAPS2	C3orf18	ANAPC16
KIF19	FAM3C	CASP2	C6orf106	ANK2
KTN1	FAM184A	CCAR2	C6orf136	ANKAR
L1CAM	FAM189B	CCDC28A	C6orf222	ANKRD18B
LIN37	FBXO30	CCDC77	C14orf37	ANKRD32
LRRC17	FCRL2	CCDC78	C15orf56	ANKRD35
